SOL,MG,MH
0.029,0.019,-0.036
-0.034,0.003,0.008
0.009,0.002,0.008
0.041,-0.04,0.02
0.054,-0.004,0.023
0.051,-0.042,0.017
0.008,-0.041,0.016
0.021,-0.018,0.003
0.007,-0.015,-0.014
0.011,0.023,0.002
0.06,0.006,0.027
0.029,0.03,-0.017
0.007,0.007,-0.001
-0.009,0,0
-0.006,-0.016,0.009
0.007,-0.014,-0.004
-0.022,-0.017,-0.025
-0.011,-0.018,0.008
0.036,-0.008,-0.003
0.054,-0.009,0.003
0.024,0.007,0.029
0.014,-0.004,0.02
0.008,-0.026,-0.029
0.028,-0.004,-0.008
0.032,0.014,0.004
-0.008,0.007,0.003
0.017,-0.005,0.005
0.016,0.001,-0.034
0.011,-0.036,0.007
-0.041,0,0.001
-0.043,0.002,0.013
-0.014,-0.016,0.009
0.003,0.019,0.015
0.014,-0.012,0.034
0.028,0.025,0.016
0.048,-0.007,0.001
0.02,0.009,-0.008
-0.015,-0.033,0.004
0.014,-0.02,-0.025
0.021,-0.025,0.002
0.039,-0.04,-0.014
0.004,-0.008,0.016
0.025,0.012,-0.007
0.053,0.02,0.009
-0.005,-0.004,0.008
0.015,0.019,0.002
0,0.021,-0.017
0.013,-0.007,0.013
0.007,-0.025,0.011
-0.025,-0.015,0.012
0.054,-0.028,0.016
0.078,-0.023,-0.011
0.092,-0.02,-0.017
0.031,-0.011,-0.011
0.021,0.007,0.008
-0.015,0.012,0.02
0.024,0.013,0.018
0.068,-0.001,0.003
0.001,0.019,0.008
0.032,0.011,-0.018
0.002,0.032,-0.008
0.013,0.01,0.003
0.05,-0.033,0.001
0.045,-0.034,0.004
0.042,-0.044,0.008
0.025,-0.033,0.007
-0.014,-0.027,-0.008
0.004,-0.041,-0.023
0.044,-0.015,0.009
0.003,-0.001,0.006
0.031,-0.007,0.007
0.036,-0.014,0.016
-0.009,0.015,0.018
-0.013,0.009,-0.012
0.007,0.017,0.013
-0.012,-0.016,-0.009
0.035,-0.018,-0.005
